Publication Year,Author,Title,Publication Title,DOI,Pages,Issue,Volume,Manual Tags
2002,"Zhang, Xian-Kang; Zhang, Cheng-Ke; Zhao, Jin-Ren; Yang, Zhuo-Xin; Li, Song-Lin; Zhang, Jian-Shi; Liu, Bao-Feng; Cheng, Shuang-Xi; Sun, Guo-Wei; Pan, Su-Zhen",Deep seismic sounding investigation into the deep structure of the magma system in Changbaishan Tianchi volconic region,Acta Seismologica Sinica,,135-143,2 ,24,#DSS; #靖宇-朝阳川
2015,"Wang, Shuai-Jun; Wang, Fu-Yun; Zhang, Jian-Shi; Liu, Bao-Feng; Zhang, Cheng-Ke; Zhao, Jin-Ren; Duan, Yu-Ling; Song, Xiang-Hui; Deng, Xiao-Guo; Ma, Ce-Jun; Sun, Yi-Nan; Zang, Yi-Ran; Li, Yi-Qing",The deep seismogenic environment of Lushan MS7.0 earthquake zone revealed by a wide-angle reflection/refraction seismic profile,Chinese Journal of Geophysics,10.6038/cjg20150915,3193-3204,9 ,58,#DSS; #金川-自贡
2016,"Duan, Yong-Hong; Wang, Fu-Yun; Zhang, Xian-Kang; Lin, Ji-Yan; Liu, Zhi; Liu, Bao-Feng; Yang, Zhuo-Xin; Guo, Wen-Bin; Wei, Yun-Hao",Three-dimensional crustal velocity structure model of the middle-eastern north China Craton (HBCrust1.0),Science China Earth Sciences,10.1360/N072015-00447,1477-1488,,59,Review article; #DSS
2022,"Deng, Xiao-Guo; Wang, Fu-Yun; Ma, Ce-Jun; Yang, Zhuo-Xin",The Crustal Structure Characteristics of Different Tectonic Units in Central Yunnan Revealed by Artificial Seismic Sounding,Journal of Seismological Research,,517-525,4 ,45,#DSS; #镇康—泸西
1997,"Cui, Zuo-Zhou; Chen, Ji-Ping; Wu, Ling",Altay-Taiwan GGT texture and Structure of Huashixia-Shaoyang Deep Crust,,,,,,#黑水-邵阳; #花石峡-简阳
2011,"Zhang, Zhongjie; Klemperer, Simon; Bai, Zhiming; Chen, Yun; Teng, Jiwen","Crustal structure of the Paleozoic Kunlun orogeny from an active-source seismic profile between Moba and Guide in East Tibet, China",Gondwana Research,10.1016/j.gr.2010.09.008,994-1007,4 ,19,#DSS; #磨坝-贵德
2006,"Jiang, M.; Galvé, A.; Hirn, A.; De Voogd, B.; Laigle, M.; Su, H.P.; Diaz, J.; Lépine, J.C.; Wang, Y.X.",Crustal thickening and variations in architecture from the Qaidam basin to the Qang Tang (North–Central Tibetan Plateau) from wide-angle reflection seismology,Tectonophysics,10.1016/j.tecto.2005.09.011,121-140,44989 ,412,#DSS; #玉树-共和
2002,"Galvé, Audrey; Hirn, Alfred; Mei, Jiang; Gallart, Josep; De Voogd, Béatrice; Lépine, Jean-Claude; Diaz, Jordi; Youxue, Wang; Hui, Qian",Modes of raising northeastern Tibet probed by explosion seismology,Earth and Planetary Science Letters,10.1016/S0012-821X(02)00863-4,35-43,1 ,203,#DSS; #玉树-共和
2000,"Wang, You-Xue; Qian, Hui",Study of crustal velocity structure in east Qinghai,Earth Science Frontiers,,568-579,4 ,7,#DSS; #玉树-共和
1997,"Xiong, Shao-Bai; Liu, Hong-Bing",Crustal sturcture of western Tibet,Chinese Science Bulletin,10.1360/csb1997-42-12-1309,1309-1312,12 ,42,#DSS; #措勤-三个湖
